Previous State,New State
"[-147.6, -513.23, 5.304077622811233, 27.23, 5.38, 528.02, 0.3]","[-150.77, -508.67, 5.3723763097721875, 28.38, 7.02, 533.57, -0.01]"
"[-150.77, -508.67, 5.3723763097721875, 28.38, 7.02, 533.57, -0.01]","[-154.34, -504.09, 5.388519489945351, 29.67, 6.12, 539.36, -0.52]"
"[-154.34, -504.09, 5.388519489945351, 29.67, 6.12, 539.36, -0.52]","[-158.12, -499.36, 5.388519489945351, 30.86, 6.21, 545.4, -1.01]"
"[-158.12, -499.36, 5.388519489945351, 30.86, 6.21, 545.4, -1.01]","[-162.06, -494.46, 5.404344155511007, 31.95, 4.55, 551.7, -1.39]"
"[-162.06, -494.46, 5.404344155511007, 31.95, 4.55, 551.7, -1.39]","[-166.35, -489.6, 5.507787810568833, 32.87, 5.19, 558.22, -1.92]"
"[-166.35, -489.6, 5.507787810568833, 32.87, 5.19, 558.22, -1.92]","[-171.1, -484.91, 5.548976519726227, 33.89, 5.73, 564.89, -2.73]"
"[-171.1, -484.91, 5.548976519726227, 33.89, 5.73, 564.89, -2.73]","[-176.17, -480.26, 5.535422672519665, 34.9, 4.5, 571.77, -3.66]"
"[-176.17, -480.26, 5.535422672519665, 34.9, 4.5, 571.77, -3.66]","[-181.28, -475.37, 5.493687097833415, 35.83, 4.8, 578.97, -4.24]"
"[-181.28, -475.37, 5.493687097833415, 35.83, 4.8, 578.97, -4.24]","[-186.4, -470.22, 5.493687097833415, 36.75, 4.32, 586.31, -4.48]"
"[-186.4, -470.22, 5.493687097833415, 36.75, 4.32, 586.31, -4.48]","[-191.74, -465.06, 5.562366546309496, 37.3, -1.14, 593.93, -4.63]"
"[-191.74, -465.06, 5.562366546309496, 37.3, -1.14, 593.93, -4.63]","[-197.35, -460.09, 5.5886870415530305, 37.89, 4.23, 601.5, -4.88]"
"[-197.35, -460.09, 5.5886870415530305, 37.89, 4.23, 601.5, -4.88]","[-203.19, -455.13, 5.575600870454231, 38.76, 4.45, 609.29, -5.11]"
"[-203.19, -455.13, 5.575600870454231, 38.76, 4.45, 609.29, -5.11]","[-209.17, -450.06, 5.575600870454231, 39.58, 3.54, 617.2, -5.25]"
