Previous State,New State
"[4.3642229591117285, 40.3, 855.39, -6.3]","[4.3642229591117285, 41.13, 863.54, -6.04]"
"[4.3642229591117285, 41.13, 863.54, -6.04]","[4.3642229591117285, 41.9, 871.83, -5.7]"
"[4.3642229591117285, 41.9, 871.83, -5.7]","[4.3642229591117285, 42.64, 880.25, -5.37]"
"[4.3642229591117285, 42.64, 880.25, -5.37]","[4.3642229591117285, 43.35, 888.78, -5.11]"
"[4.3642229591117285, 43.35, 888.78, -5.11]","[4.3642229591117285, 44.04, 897.48, -4.96]"
"[4.3642229591117285, 44.04, 897.48, -4.96]","[4.3642229591117285, 43.61, 906.31, -4.85]"
"[4.3642229591117285, 43.61, 906.31, -4.85]","[4.3642229591117285, 40.09, 914.68, -4.75]"
"[4.3642229591117285, 40.09, 914.68, -4.75]","[4.3642229591117285, 36.27, 922.32, -4.66]"
"[4.3642229591117285, 36.27, 922.32, -4.66]","[4.3642229591117285, 32.63, 929.19, -4.59]"
"[4.3642229591117285, 32.63, 929.19, -4.59]","[4.3642229591117285, 29.06, 935.3, -4.56]"
"[4.3642229591117285, 29.06, 935.3, -4.56]","[4.217454854043794, 27.74, 940.87, -4.34]"
"[4.217454854043794, 27.74, 940.87, -4.34]","[4.068887871591405, 26.85, 946.19, -3.62]"
"[4.068887871591405, 26.85, 946.19, -3.62]","[3.903081706337426, 25.81, 951.18, -2.42]"
"[3.903081706337426, 25.81, 951.18, -2.42]","[3.7726514943678144, 24.94, 955.89, -0.92]"
"[3.7726514943678144, 24.94, 955.89, -0.92]","[3.6884436042857374, 24.94, 960.53, 0.73]"
"[3.6884436042857374, 24.94, 960.53, 0.73]","[3.6536824065239406, 26.06, 965.6, 2.25]"
"[3.6536824065239406, 26.06, 965.6, 2.25]","[3.5422242462911653, 25.63, 971.14, 3.24]"
"[3.5422242462911653, 25.63, 971.14, 3.24]","[3.425386762798121, 24.92, 976.8, 3.62]"
"[3.425386762798121, 24.92, 976.8, 3.62]","[3.292160926366479, 24.93, 983.02, 3.31]"
"[3.292160926366479, 24.93, 983.02, 3.31]","[3.2016287120350717, 25.59, 988.48, 2.7]"
"[3.2016287120350717, 25.59, 988.48, 2.7]","[3.071535360501743, 24.86, 993.75, 1.82]"
"[3.071535360501743, 24.86, 993.75, 1.82]","[2.9095149707270798, 23.84, 998.71, 0.94]"
"[2.9095149707270798, 23.84, 998.71, 0.94]","[2.7300758075223053, 22.61, 1003.36, 0.2]"
"[2.7300758075223053, 22.61, 1003.36, 0.2]","[2.5350867983767063, 22.08, 1007.77, -0.33]"
"[2.5350867983767063, 22.08, 1007.77, -0.33]","[2.3661951569790403, 22.02, 1012.12, -0.65]"
"[2.3661951569790403, 22.02, 1012.12, -0.65]","[2.197440538435637, 21.98, 1016.57, -0.82]"
"[2.197440538435637, 21.98, 1016.57, -0.82]","[2.044247484066963, 22.03, 1020.91, -0.79]"
"[2.044247484066963, 22.03, 1020.91, -0.79]","[1.9471798091126247, 22.33, 1025.28, -0.54]"
"[1.9471798091126247, 22.33, 1025.28, -0.54]","[1.8545904360032246, 23.09, 1029.76, -0.06]"
"[1.8545904360032246, 23.09, 1029.76, -0.06]","[1.8163618443101885, 24.37, 1034.5, 0.47]"
"[1.8163618443101885, 24.37, 1034.5, 0.47]","[1.771131169118016, 25.55, 1039.56, 0.73]"
"[1.771131169118016, 25.55, 1039.56, 0.73]","[1.771131169118016, 26.71, 1044.86, 0.57]"
"[1.771131169118016, 26.71, 1044.86, 0.57]","[1.7123358001193236, 27.62, 1050.29, -0.04]"
